title,rating,ranking
Made in Abyss,8.70,44
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.70,45
Great Teacher Onizuka,8.69,46
Mononoke Hime,8.69,47
Shigatsu wa Kimi no Uso,8.69,48
Mushishi,8.68,49
Ashita no Joe 2,8.68,50
Chihayafuru 2,8.41,151
Cross Game,8.41,152
Gintama°: Aizome Kaori-hen,8.41,153
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,154
Kono Oto Tomare! 2nd Season,8.41,155
Baccano!,8.40,156
Barakamon,8.40,157
Gotcha!,8.40,158
Houseki no Kuni (TV),8.40,159
Hunter x Hunter,8.40,160
Natsume Yuujinchou Roku Specials,8.40,161
Usagi Drop,8.40,162
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.40,163
Douluo Dalu: Xiaowu Juebie,8.39,164
Kizumonogatari I: Tekketsu-hen,8.39,165
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.39,166
Cowboy Bebop: Tengoku no Tobira,8.38,167
Hellsing Ultimate,8.38,168
Kamisama Hajimemashita: Kako-hen,8.38,169
Kaze no Tani no Nausicaä,8.38,170
Tian Guan Ci Fu,8.38,171
Wu Liuqi Zhi Xuanwu Guo Pian,8.38,172
Tensei shitara Slime Datta Ken 2nd Season Part 2,8.37,173
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.37,174
Bakuman. 2nd Season,8.37,175
Kingdom 2nd Season,8.37,176
Kiseijuu: Sei no Kakuritsu,8.37,177
Mahou Shoujo Madoka★Magica,8.36,178
Major S6,8.36,179
Mushoku Tensei: Isekai Ittara Honki Dasu,8.36,180
Psycho-Pass,8.36,181
One Outs,8.35,182
Tenki no Ko,8.35,183
Uchuu Senkan Yamato 2199,8.35,184
Bakemonogatari,8.35,185
Gintama: Shiroyasha Koutan,8.35,186
Given,8.35,187
Haikyuu!!: To the Top,8.35,188
Katanagatari,8.35,189
Evangelion: 2.0 You Can (Not) Advance,8.34,190
Hotarubi no Mori e,8.34,191
Kemono no Souja Erin,8.34,192
Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,193
Mobile Suit Gundam: The Origin,8.34,194
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.34,195
Ookami to Koushinryou II,8.34,196
Romeo no Aoi Sora,8.34,197
Sakamichi no Apollon,8.34,198
Versailles no Bara,8.34,199
Natsume Yuujinchou Go Specials,8.33,200
Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.08,451
IDOLiSH7: Third Beat!,8.08,452
Koukyoushihen Eureka Seven,8.08,453
Love Live! Superstar!!,8.08,454
Mahoutsukai no Yome,8.08,455
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.08,456
Omoide no Marnie,8.08,457
